epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6152,0.7023,0.38131,0.00456,0.88449,0.83302,0.86718,0.70768,0.56313,0.35987,0.00712,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,6332.61,0.69717,0.38026,0.00449,0.88483,0.84096,0.88227,0.71656,0.56835,0.37595,0.00712,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,6513.53,0.69758,0.37948,0.00441,0.87256,0.85145,0.88293,0.71343,0.56721,0.35196,0.0072,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,6694.69,0.69618,0.37853,0.00442,0.87042,0.83605,0.86901,0.71254,0.56602,0.38525,0.0071,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6875.44,0.68436,0.36572,0.00431,0.90263,0.85969,0.89395,0.7227,0.55804,0.34109,0.00696,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7064.13,0.68561,0.36412,0.00433,0.90209,0.84617,0.88795,0.72033,0.56091,0.33851,0.00688,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,7246.64,0.67883,0.36112,0.00426,0.8805,0.86511,0.89756,0.72786,0.55311,0.34457,0.00683,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,7429.45,0.6757,0.35414,0.00423,0.9151,0.8405,0.89328,0.72299,0.54631,0.33294,0.0067,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,7612.67,0.67531,0.35114,0.00425,0.88513,0.85206,0.883,0.71964,0.5418,0.36173,0.00663,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,7794.59,0.66956,0.34996,0.00418,0.8941,0.84968,0.88728,0.72667,0.55209,0.3486,0.0069,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,7976.86,0.65993,0.33798,0.00413,0.88154,0.85932,0.88233,0.71718,0.54545,0.35888,0.00678,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,8157.16,0.65906,0.34295,0.00409,0.87748,0.85623,0.88829,0.72287,0.54383,0.3523,0.00681,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,8338.02,0.65816,0.33925,0.00411,0.88609,0.84924,0.89307,0.72779,0.54491,0.35942,0.00682,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,8518.35,0.65225,0.34111,0.00407,0.91882,0.83564,0.88734,0.72816,0.54368,0.36141,0.00654,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,8706.84,0.64901,0.3372,0.00406,0.89114,0.84072,0.88583,0.72608,0.54254,0.34644,0.00655,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,8888.95,0.65718,0.34453,0.00402,0.88201,0.85208,0.88481,0.72909,0.53596,0.35599,0.0065,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,9071,0.6466,0.32631,0.00399,0.91237,0.84437,0.88873,0.72292,0.52923,0.34556,0.00635,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,9252.53,0.64255,0.32855,0.00399,0.88889,0.86269,0.89303,0.72874,0.52865,0.3383,0.00638,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,9435.29,0.64143,0.32604,0.00394,0.87732,0.85594,0.87862,0.72187,0.52958,0.34798,0.00643,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,9616.97,0.63388,0.32623,0.00391,0.92154,0.85237,0.89912,0.74049,0.52556,0.34355,0.00628,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,9799.05,0.63317,0.31893,0.00393,0.9095,0.84554,0.89471,0.73202,0.51892,0.34467,0.00614,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,9981.7,0.63002,0.31884,0.0038,0.88036,0.87052,0.88797,0.72881,0.52574,0.34902,0.00636,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,10163.2,0.62488,0.3139,0.00386,0.90835,0.86185,0.89127,0.73429,0.52001,0.34299,0.0062,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,10347.4,0.6176,0.30528,0.00375,0.91286,0.85377,0.89072,0.72998,0.53266,0.34967,0.00653,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,10530.6,0.61925,0.30783,0.00374,0.92366,0.84204,0.87883,0.72455,0.52163,0.34556,0.00628,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
